13-skala	«13»skalo
råber at der er et skib på vej ind	vokas ke tie estas * sxipo sur vojo enen
råber gennem noget	vokas tra io
råber hurra	vokas hura
råber højt	vokas alte
råber/megafon	vokas/megafono
råber om hjælp	vokas je helpo
råber op om det	vokas supren je gxin
råber	vokas
råddent spæk	putra lardo
råd/forslag	konsilo/propono
rådgivende udvalg vedrørende grønlands økonomi	konsilanta(j) komisiono vedrørende de Grenlando ekonomio
rådgivende/- ver	konsilanta(j)/- ver
rådgiver/konsulent	konsilanto/konsilanto
rådgivning	konsil«givning»
rådgivningslærer	«rådgivning»instruisto
rådhus	urbodomo
rådighed	dispono
rådighedsløn	disponsalajro
rådighedstillæg	disponaldono
rådighedstjeneste	disponservo
råd/kommission	konsilo/komisio
råd	konsilo
rådner/går til spilde	kariigxas/iras alperde
rådslagning	rådslagning
rådyr	kapreolo
råjern	krudfero
råmateriale	krudmaterialo
råmaterialer	krudmaterialoj
råstofdirektoratet	krudajx«direktorat»
råstofefterforskning	krudajx«efterforskning»
råstofforvaltningen	krudajx«forvaltning»
råstofindvinding	krudajx«indvinding»
råstofloven	la krudajxlegxo
råstofordning	krudajxarangxo
råt	kruda
rå/ukogt	kruda/malbol(ig)ita
råvand	krudakvo
råvarekøb	krud«varekøb»
råvarer/råstoffer/råmaterialer	krudvaroj/krudajxoj/krudmaterialoj
sabinemåge	«sabine»mevo
saddel	selo
sadelmagernål	selfaristpinglo
sadelnæse	selnazo
sadelø/sadlen	sadelø/la selo
sadisme	sadismo
saft	suko
sag	afero
sagde at ...	diris ke ...
sagde noget nedsættende om ham ( uden at vide at han eller hans pårø	diris io depresora je lin ( sen * scii ke li aü lia(j) pårø
sagde om ham/det at ...	diris je lin/gxi ke ...
sagfører/advokat	advokato/advokato
sagkyndig	ekspertizisto
saglig	afer(ec)e
sagogryn	sagugrio
sagsanlæg	aferejo
sagsbehandler	ofickoncernulo
sagsbehandling	aferpritraktado
sagsomkostninger	sagsomkostninger
sagsoplysning	aferinformo
sagsøger	afercelilo
sagsøger ham	legxpersekutas lin
sagsøgte	legxpersekutita
sagsøgt	legxpersekutita
sagte/stille	delikata/kvieta
sagvolder	afer«volder»
sakkarose intolerans	sakarozo netoleranteco
sakramente	sakramento
saksbid	tondilpeco
saksning	saksning
saks	tondilo
salatolie	salatoleo
salat	salato
saldokvittering	saldkvitanco
saldo	saldo
salg af varer og tjenester	vendo de dauxras kaj servoj
salg/de der er blevet solgt	vendo/tiuj kiuj estas igxis vendita
salgspris	vendprezo
salgsprovenu	vend«provenu»
salgsvirksomhed	vendentrepreno
salg	vendo
salicyl	salicilo
salmebog	psalmaro
salme	himno
salmiak	salmiako
salonriffel	salon«riffel»
saltbøsse/saltkar	salvirsamseksemo per salujo
salter det	peklas gxi
salteri/saltehus	peklado/pekldomo
saltet/saltmad	peklita/salmangxajxo
saltomortale	saltomortalo
salt	salo
saltvand	salakvo
saltvandsfiskeri	salakv«fiskeri»
salve - blød	salvo - mola
salve - halvfast	salvo - duonfirme
salver ham til konge	krismas lin al regxo
salær	salajro
samarbejde	kunlaboro
samarbejde med forældrene	kunlaboro kun forælder
samarbejdspartner	«samarbejds»partnero
samarbejdsånd	«samarbejds»spirito
sambeskatning	kun«beskatning»
sameje	kunposedo
same	samo
samfundsfaglig	«samfunds»fake
samfundsforhold	«samfunds»cirkonstanco
samfundsforskning	«samfunds»esploro
samfundskundskab	«samfunds»scio
samfundsmedicin	socimedicino
samfundsmæssige og sociale forhold	«samfunds»lauxa kaj sociala cirkonstanco
samfundsmæssig	«samfunds»lauxe
samfund	socio
samfundsopgave	«samfunds»tasko
samfundsorden	«samfunds»ordo
samfundsorienteret	«samfunds»«orienteret»
samfundsorientering	«samfunds»«orientering»
Samfundspålagte opgaver	Samfundspålagte taskoj
samfundstjeneste	«samfunds»servo
samfundsvidenskabelige fag	«samfunds»«videnskabelig» fako
samfundsvidenskab	«samfunds»scienco
samfundsværdier	«samfunds»valor(ajx)oj
samfundsværdi	«samfunds»valor(ajx)o
samfundsøkonomisk	«samfunds»ekonomie
samfærdsel	kuntrafiko
samhørighed	konekseco
samkvem	kunesto
samkvemsret	kunestrajto
samleje	koito
samler ammassætter til vinterforråd	kolektas ammassætter al vintrprovizo
samler brænde/samler brændsel	kolektas brulsxtipo/kompilisto hejtajxo
samler dem sammen i en bunke	kolektas ilin kune en * amaso
samler dem sammen	kolektas ilin kune
samler dun	kolektas lanugo
samler/indsamlet af ...	kompilisto/kolektita de ...
samler noget sammen	kolektas io kune
samler sig et forråd	kolektas sin * provizo
samler terneæg	kolektas «tern»ovo
samler vinterforråd	kolektas vintrprovizo
samler æg/finder et æg	kolektas ovo/finder * ovo
samler æg på et fuglefjeld hængende i et reb	kolektas ovo sur * birdmontaro pend(ig)anta(j) en * sxnur(eg)o
samlet fiskeri ved grønland	unueca fisxado cxe Grenlando
samlet/gruppe	unueca/grupo
samlet grønlandsk fiskeri eller grønlandsk fiskeri	unueca grenlanda fisxado aü grenlanda fisxado
samleudskrift	kolekt«udskrift»
samlevende	kunvivanta(j)
samlever	kunlogxanto
samleverske/elskerinde	kunlogxantino/amantino
samling	amaso
samliv	kunvivado
samlivsfrekvens	kunvivadfrekvenso
sammenbidsplastron	sammenbidsplastron
sammenfatning	kunsinrego
sammenfrosne isstykker	kunfrostigita glacipecoj
sammenføjning	kun«føjning»
sammenhæng	konekso
sammen	kune
sammenligner det med noget	komparas gxi kun io
sammenlignet med det	komparita kun gxi
sammenligningsforholdsendelse	sammenligningsforholdsendelse
sammenlægning	centralizado
sammenregning	kunfakturo
sammenslutningen af grønlandske elever i danmark	la federacio de grenlanda lernantoj en Danio
sammenslutning	federacio
sammenstød/kollision	kolizio/kolizio
sammensyning	kunudro
sammensætning	konsisto
sammentrækning	kun«trækning»
sammenvoksninger	kun«voksning»
Samordnet Tilmelding	Samordnet Tilmelding
samordning	kunarangxo
samråd	interkonsiligxo
samspil	interludo
samtidig med/sammen med	samtempe kun/* kun PRP
samtidig med	samtempe kun
samtidsorientering	nuntemp«orientering»
samtykke	konsento
samvittighed	konscienco
samvær	kunesto
samværsret	kunestrajto
sanatorie	sanatorie
sandal	sandalo
sandfang	sandfang
sandfærdig	vereme
sandhed	vero
sandløber	kroketio
sandmusling	sabl(klap)konko
sandnæs	sablistmo
sand og grus	sablo kaj gruzo
sandpapir	eroda papero
sand	sablo
sandskorn	sandskorn
sandsten	grejso
sandsuger	sablsucxilo
sandsynliggørelse	sabl«synliggørelse»
sandsynlighed	versxajneco
sanering	sanering
sangbog	kantaro
sanger/sangerinde	kantisto/sangerinde
sang	kanto
sangkor/kor	kanthxoro/hxoro
sangsvane	kantocigno
sangvinsk	sangvine
sanktion	sankcio
sanktionsbestemmelser	sankcidestinoj
sansebedrag	senstrompo
sanseindtryk	sensimpreso
sanseintegration	sensintegrigxo
sanseorgan	sensorgano
sansning	sensaco
sans/sanseredskab	senso/sensilo
sans	senso
sarkasme	sarkasmo
sassat	sassat
Satan	Satano
satellitalderen	la satelitagxo
satellitbillede	satelitbildo
satellit	satelito
sats	tarifo
savanne	savano
savblad/savklinge	segila lameno/segilklingo
savbuk	segilstablo (
saver i det	segas en gxin
saver	segas
savler	salivas
savner det som han har været vant til	sopiras gxi kiu li havas estis alkutimigita al
savner ham/det/mangler ham/det/må undvære ham/det	sopiras lin/gxin/mankas lin/gxin/devas malhavi lin/gxin
savner nogen	sopiras iu
savner noget af det han har været vant til	sopiras io de gxi li havas estis alkutimigita al
savnes/efterlader et savn	sopirigxas/lasas * sopiro
savnes meget	sopirigxas multo
sav	segilo
savsmuld	elborajxoj
sb-butik	«sb»butiko
screeningsklinikker	«screening»klinikoj
sedimenter	sedimentoj
seeded lodtrækning	seeded lotumado
seeding	seeding
segl/stempel	serpo/stamp(il)o
seismiske undersøgelser	sisma ekzamenoj
sejgtrækkernæsset	sejgtrækkernæsset
sejhval	rezistbaleno
sej/hård	rezista/malmola
sejlads i isfyldt farvand/issejlads	sxipveturado en glaci«fyldt» patrakvo/glacisxipveturado
sejladsområde	sxipveturadregiono
sejlads/sørejse	sxipveturado/lagvojagxo
sejlbåd	belboato
sejldugsjolle	veltolbarketo
sejldug	veltolo
sejler/drives frem af sejl	sejler/peligxas antauxen de velo
sejler for fulde sejl	veturas por plena velo
sejler frem og tilbage for at bringe dem ( passagererne eller varern	sejler antauxen kaj re(en) por * alporti ilin ( la pasagxeroj aü varern
sejler hen over det/går hen over det/flyver hen over det	sejler trans gxin/iras trans gxin/flugas trans gxin
sejler i høj sø	sejler en alta lago
sejler indenskærs	sejler antaux olpure
sejler i storisen	sejler en grand«is»
sejler i tæt tåge	sejler en densa nebulo
sejler i vindsiden/er til luvart	sejler en la ventflanko/estas al ventflankspeco
sejler med motorbåd	sejler kun motorboato
sejler med sidevind	sejler kun flankvento
sejler med skib	sejler kun sxipo
sejler midt ude på fjorden/sejler over et åbent farvand	sejler meze ekstere sur la fjordo/sejler super * malferm(it)a patrakvo
sejler over det	sejler super gxin
sejler over et sund eller en fjord	sejler super * markolo aü * fjordo
sejler på en isflage/driver på en isflage	sejler sur * bankizo/pelas sur * bankizo
sejler uden om det/går uden om det	sejler preter gxin/iras preter gxin
sejler uden om det	sejler preter gxin
sejler uden om et næs med det	sejler preter * istmo kun gxi
sejler uden om noget	sejler preter io
sejler vest om det	veturas okcidente je gxin
sejlgarn	sxnureto
sejlskib	velsxipo
sejl	velo
sejrer over ham/besejrer ham	venkas super lin/venkas lin
sekretariatet for fysisk planlægning	la sekretariejo por korpa planado
sekretariat	sekretariejo
sekretion	sekrecio
sekret	sekreciajxo
sekretær	sekretario
seksagesima	seksagesima
seks	seks
sekstant	sekstanto
seksten	la sekstro
seksualoplysning	seksinformo
seksuel	seksa
sektorinteresser	sektorinteresoj
sektorplanlægning	sektorplanado
sekund	sekundo
sekundær gevinst	sekundara gajno
sekundær sundhedstjeneste	sekundara «sundheds»servo
sekundær vej	sekundara vojo
seler	tenrimenoj
sele	tenrimeno
selskabets aktiver	de la societo aktivoj
selskab/gæstebud	societo/gastpropono
selskabslov	societlegxo
selskab	societo
selskabsregistret	la societregistro
Selskabsskat	Selskabsskat
selv/af sig selv	ecx/de si mem
selvagtelse	memestimo
selvangivelse	impostdeklaro
selvbeherskelse	memregado
selvbestemmelse	auxtonomeco
selvbillede	ecxbildo
selvbyggerhuse, lån til	propradomuldomoj, prunto al
Selvbyggerhuse	Selvbyggerhuse
selvbyggerhus	propradomuldomo
selvejende,	selvejende,
selverhverv	ecxprofesio
selvet	la memo
selvfinansierende	ecx«finansiere»
selvforskyldt	ecx«forskyldt»
selvforvaltning	memmastrumado
selvfølelse	sinestimo
selvfølgelig	kompreneble
selvfølgelig/naturligvis	kompreneble/kompreneble
selvhjulpenhed og legemskendskab	«selvhjulpen»eco kaj «legems»«kendskab»
selvkontrol	ecxkontrolo
selvlemlæstelse	ecx«lemlæstelse»
selvlyd/vokal	vokalo/vokalo
selvmord	suicido
selvmøder	selvmøder
selv om/endog/dog/til trods for/uanset	kvankam/kaj ecx/tamen/malgraux/nekonsiderante
selvpensionering	ecx«pensionering»
selv/personlig	ecx/persone
selvrealiseringsbehov	«selvrealisering»bezono
selvrespekt	ecxrespekto
selvrisikobeløb	«selvrisiko»sumo
selvrisiko	ecxrisko
selvskyldnerkautionist	«selvskyldner»garantianto
selvskyldnerkaution	«selvskyldner»garantimono
selvstyrende integrerende del	auxtonoma integrerende parto
selvstændig bolig	memstara logxejo
selvstændighed	memstareco
selvstændig	memstare
selvstændig varetagelse af sygeplejerskevirksomhed	memstara varetagelse de flegistinentrepreno
selvtillid	memfido
selvtægt	selvtægt
selvværd	ecxvaloro
semantik/læren om ordenes betydning	semantiko/la instruo je de la vortoj signifo
semester &	semestro &
semester	semestro
semikolon	punktokomo
seminarieelev	seminarilernanto
seminarium	seminario
sender det	sendas gxi
sender et telegram	sendas * telegramo
sender ham af sted med en besked	sendas lin * kun * sciigo
sender ham noget	sendas lin io
seneforkortende operation	malfrumallongiganta(j) operacio
senehinde	aponeuxrozo
seneknude	malfrunodo
senelidelser	malfrupatosoj
sene/muskel	malfrua/muskolo
senere	pli malfrue
senere/sidenhen/igen	pli malfrue/sidenhen/denove
sener	tendenoj
sene/senetråd	malfrua/malfrufadeno
seneskede	tendeningo
senest	plej malfrue
senetråd	malfrufadeno
sengegalge	litpendumilo
sengehest	litcxevalo
sengetid	littempo
sengetøj	litajxo
seng	lito
senil demens	senila demens
senil	senila
senmoderne samfund	malfrumoderna socio
sennep	mustardo
sensitiv nerve	sent-iva nervo
sensitiv	sent-iva
sensomotorisk	sensomotorisk
se !/obs !/bemærk !	vidi !/obs !/bemærk !
separat	aparte
separation	separo
september	septembro
septuagesima	septuagesima
seraf	serafo
ser bister ud/ser gal ud/rynker brynene	vidas bister eksteren/vidas freneza eksteren/sulkigas la brovoj
ser bleg ud/ser sygelig ud	vidas pala eksteren/vidas malsan(ec)a eksteren
ser både genert og stolt ud	vidas kaj embarasite kaj fiera eksteren
ser det/får øje på det/opdager det	vidas gxi/ricevas okulo sur gxin/malkovras gxin
ser dårligt/er blind	vidas malbone/estas blinda
ser dårligt/er svagtseende	vidas malbone/estas pian«seende»
ser film/er i biografen	vidas filmo/estas en la kinejo
ser forfrossen ud	vidas frostema eksteren
ser forgrædt ud	vidas forgrædt eksteren
ser forslidt ud	vidas forslidt eksteren
ser gammel ud	vidas maljuna eksteren
ser godt ud/er kraftig	vidas bona eksteren/estas forta
ser godt ud/er smuk	vidas bona eksteren/estas bela
ser godt ud/har et nydeligt udseende	vidas bona eksteren/havas * placxa aspekto
ser grønlandsk ud	vidas grenlanda eksteren
ser ham/det for første gang	vidas lin/gxi por unua fojo
ser ham/det på nært hold	vidas lin/gxi sur proksima grupo
ser ham tit og ofte/ser ham jævnligt	vidas lin ofte kaj ofte/vidas lin regule
serielån	seriprunto
ser meget mistænkelig ud/er ildevarslende	vidas tre suspekta eksteren/estas malbonauxgura
ser noget for første gang	vidas io por unua fojo
ser nøje på det/ser det an	vidas precize sur gxin/vidas gxi *
ser op	vidas supren
ser overkommelig ud/ham kan man vist nemt klare	vidas ating(ec)a eksteren/lin povas oni versxajne facile prisukcesi
ser på det/kigger på det/betragter det	vidas sur gxin/rigardas sur gxin/rigardas gxin
ser på/kigger	vidas sur/rigardas
ser på noget med kikkert/kigger i kikkert/kigger gennem et rør	vidas sur io kun binoklo/kigger en binoklo/kigger tra * tubo
ser på noget med kikkert/kigger i kikkert	vidas sur io kun binoklo/kigger en binoklo
ser sig godt om	vidas sin bone je
ser sig om	vidas sin je
ser statelig ud	vidas sxtat(ec)a eksteren
ser streng ud/ser bister ud	vidas kordo eksteren/vidas bister eksteren
ser syner	vidas kontrolas
ser til/er tilskuer	vidas */estas spektanto
ser tv	vidas televido
ser uhyggelig ud/det gør én bange	vidas terura eksteren/gxi faras unu timigita
ser utilnærmelig ud	vidas mal«tilnærmelig» eksteren
ser vejrbidt ud	vidas veterhardita eksteren
serverer mad/sætter mad frem	servas mangxajxo/metas mangxajxo antauxen
serviceeftersyn	mangxilarkontrolo
serviceerhverv	mangxilarprofesio
servicefaciliteter	mangxilarinstalajxoj
servicehus	mangxilardomo
serviceniveau	mangxilarnivelo
service og udviklingsafdelingen, sua	servo kaj la evolusekcio, sua
service	servo
ser video	vidas videilo
serviet	busxtuko
servitut	servitudo
ser vredt på ham	vidas kolere sur lin
ser vred ud	vidas kolera eksteren
ses i silhuet mod himlen	renkontigxas en silueto kontraux la cxielo
se !	vidi !
sex	sekso
shagtobak	«shag»tabako
shirting	shirting
sidder eller står ved siden af ham/bor ved siden af ham	sidas aü staras apud lin/logxas apud lin
sidder fast i en revne	sidas firme en * fendo
sidder fast	sidas firme
sidder i fred og ro	sidas enpace kaj trankvilo
sidder med dårlige kort	sidas kun malbona karto
sidder med hovedet i hænderne/dagdrømmer	sidas kun la kapo en la manoj/tagrevulo
sidder og fordøjer/ligger og fordøjer/slår mave	sidas kaj digestas/kusxas kaj digestas/batas ventro
sidder og grubler/tænker dybt over noget	sidas kaj pripensadas/pensas profunde super io
sidder og hviler ansigtet på armene	sidas kaj ripozas la vizagxo sur la brakoj
sidder og nikker med hovedet fordi han er lige ved at falde i søvn	sidas kaj kapjesas kun la kapo cxar li estas gxuste cxe * fali en dormo
sidder og nyder sin pibe	sidas kaj gxuas sia pipo
sidder og stemmer imod med fødderne	sidas kaj vocxdonas kontraux kun la piedoj
sidder	sidas
sidebriks/lampebriks	flankkusxbreto/lampkusxbreto
sidefag	flankfako
side	flanko
sidekølene på en kajak	sidekølene sur * o
sidekøl	flankfrido
sidelinje	flanklinio
sidemand/nabo	apudulo/najbaro
sidemoræne	flankmoreno
sider	flankoj
sidevæg	flankmuro
sidste gang/for sidste gang/sidst	lasta fojo/por lasta fojo/laste
sidste år/i fjor	lasta jaro/pasintjare
sier det/sigter det/filtrerer det	kribriloj gxin/akuzas gxi/dekantas gxin
siger amen	diras amen
siger at der er mange	diras ke tie estas multaj
siger at han ikke må gøre det	diras ke li ne devas fari gxin
siger : din satan ! til ham	diras : via Satano ! al lin
siger et par ord	diras kelkaj vorto
siger farvel til ham	diras farvel al lin
siger goddag	diras goddag
siger godmorgen	diras godmorgen
siger ikke noget/giver ikke en lyd fra sig	diras ne io/giver ne * sono de sin
siger ikke ret meget/er ordknap	diras ne gxuste multo/estas malparolema
siger ja	diras jes
siger ja gentagne gange	diras jes gentagen multipliki
siger ja/indvilger/giver sit samtykke	diras jes/konsentas/okupas sia konsento
siger ja til det hele/er føjelig/bøjer sig/protesterer ikke	diras jes al la tuta/estas cedema/fleksas sin/protestere ne
siger kæleord/synger en kælevise	diras karesumvorto/kantas * karesummelodio
siger mæh	diras mæh
siger nej	diras ne
siger noget af og til	diras io detempaltempe
siger noget/bemærker noget	diras io/rimarkas io
siger noget der ikke passer	diras io kiu(j) ne tauxg(ig)as
siger noget for at henlede opmærksomheden på sin situation og for a	diras io por * cxirkauxgvidi la afablajxo sur sia situacio kaj por ao
